Phi_1,Phi_2,DPhi_1,DPhi_2,DDPhi_1,t,wire_dist,overlap
1.8484490330005932,0.379892452520934,-1.256236410295382,0.4547988554957076,26.11215054554151,1.0405,0.7162789440719874,
1.8478199147293224,0.38012311483816386,-1.2602359179475453,0.4678481442857917,26.08492095095602,1.041,0.7150908839835024,
1.8471887978401649,0.3803602983891142,-1.2642308804790265,0.4808837764466665,26.057524187637227,1.0415,0.7139012825147627,
1.8465556846077247,0.3806039963245874,-1.2682212897185763,0.49390566847343187,26.02996057229393,1.042,0.7127101571153781,
1.8459205773106908,0.38085420175367324,-1.2722071374914201,0.5069137370189576,26.002230419239652,1.0425,0.7115175252625802,
1.8452834782318406,0.38111090774382694,-1.2761884156192094,0.5199078988926686,25.97433404041618,1.043,0.7103234044618485,
1.844644389658042,0.38137410732094734,-1.2801651159199847,0.5328880710593766,25.946271745415856,1.0435,0.7091278122475356,
1.8440033138802554,0.3816437934694543,-1.2841372302081329,0.5458541706380874,25.918043841504982,1.044,0.7079307661834894,
1.8433602531935342,0.38191995913236537,-1.288104750294354,0.5588061149008787,25.88965063364674,1.0445,0.7067322838636781,
1.8427152098970272,0.3822025972113723,-1.2920676679856204,0.5717438212717313,25.861092424524372,1.045,0.7055323829128152,
1.8420681862939805,0.38249170056691684,-1.2960259750851395,0.584667207325406,25.83236951456456,1.0455,0.7043310809869853,
1.8414191846917405,0.38278726201826496,-1.2999796633923115,0.5975761907862988,25.803482201961288,1.046,0.7031283957742741,
1.8407682074017542,0.3830892743435824,-1.3039287247027034,0.6104706895273644,25.77443078269812,1.0465,0.7019243449953911,
1.8401152567395718,0.38339773028000834,-1.3078731508080053,0.623350621568994,25.745215550572766,1.047,0.7007189464042977,
1.8394603350248486,0.3837126225237287,-1.3118129334959987,0.6362159050779399,25.715836797220277,1.0475,0.6995122177888357,
1.8388034445813477,0.3840339437300488,-1.315748064550515,0.6490664583662171,25.68629481213793,1.048,0.6983041769713565,
1.8381445877369402,0.3843616865134667,-1.3196785357514123,0.661902199890075,25.65658988270718,1.0485,0.6970948418093434,
1.837483766823609,0.38469584344774393,-1.323604338874534,0.6747230482489215,25.62672229421787,1.049,0.6958842301960458,
1.8368209841774494,0.38503640706597764,-1.3275254656916795,0.6875289221842957,25.59669232989438,1.0495,0.6946723600611019,
